Población,5,Elementos,40,P.Mutación,0.02,P.Cruzamiento,0.59,Iteraciones,15,Semilla,15
Generación,Tubo,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37,e38,e39,e40,large,fit
0,ZWheAuNyDa,0.158878,0.123488,0.0258328,0.162367,0.109297,0.0704179,0.207721,0.216502,0.247605,0.0447549,0.0746162,0.160475,0.176441,0.172508,0.0609273,0.183122,0.12544,0.0265128,0.0991853,0.183211,0.00883252,0.214817,0.114382,0.0266606,0.160002,0.083752,0.0253302,0.170232,0.0815642,0.137946,0.0642387,0.10906,0.0174657,0.225135,0.14244,0.168931,0.0671361,0.0177614,0.0602473,0.0839885,1.17653,814.193
0,ZWheAuNyDa,0.100693,0.116097,0.210589,0.0853781,0.159115,0.0494854,0.09206,0.061696,0.0942478,0.216384,0.0139178,0.0268972,0.17372,0.0895173,0.231965,0.0807955,0.138596,0.119911,0.0998358,0.0202744,0.164496,0.151251,0.0760945,0.156425,0.204528,0.2139,0.0921487,0.0984757,0.0783711,0.205651,0.121744,0.20101,0.115328,0.0959035,0.233857,0.2037,0.0460853,0.103029,0.245772,0.111485,0.919982,565.552
0,ZWheAuNyDa,0.125055,0.18463,0.0409704,0.138123,0.194416,0.183063,0.0522645,0.0316868,0.228713,0.231167,0.16902,0.189183,0.0927991,0.239918,0.133807,0.164733,0.183507,0.21461,0.210825,0.221765,0.125321,0.0825103,0.063736,0.233975,0.214669,0.111278,0.0280798,0.0217823,0.0151596,0.238676,0.0261876,0.107996,0.0480071,0.103591,0.24663,0.137443,0.12204,0.147791,0.0434244,0.00868469,1.63802,788.947
0,ZWheAuNyDa,0.207071,0.169167,0.220316,0.100723,0.162899,0.0197718,0.201276,0.123754,0.118935,0.171503,0.0580594,0.0797902,0.114116,0.201276,0.201601,0.0859103,0.197817,0.222888,0.127598,0.236755,0.0752371,0.105424,0.148442,0.0268676,0.10977,0.226052,0.151044,0.0516141,0.0360921,0.143445,0.0829242,0.0418574,0.0523828,0.010163,0.204173,0.0843138,0.0407635,0.0555168,0.0420348,0.154532,0.728644,428.234
0,ZWheAuNyDa,0.175672,0.185961,0.207307,0.0249163,0.0304746,0.048421,0.184157,0.0101925,0.131885,0.201512,0.208638,0.0430105,0.178185,0.139897,0.103916,0.222297,0.175997,0.0117595,0.0135926,0.0543046,0.199354,0.182531,0.0415618,0.187498,0.211417,0.136763,0.222563,0.0996584,0.0581481,0.0794059,0.229629,0.236134,0.0363286,0.104211,0.16766,0.167246,0.206272,0.15539,0.187232,0.160416,1.8251,907.889
0,(+)ZWheAuNyDa,0.207071,0.169167,0.220316,0.100723,0.162899,0.0197718,0.201276,0.123754,0.118935,0.171503,0.0580594,0.0797902,0.114116,0.201276,0.201601,0.0859103,0.197817,0.222888,0.127598,0.236755,0.0752371,0.105424,0.148442,0.0268676,0.10977,0.226052,0.151044,0.0516141,0.0360921,0.143445,0.0829242,0.0418574,0.0523828,0.010163,0.204173,0.0843138,0.0407635,0.0555168,0.0420348,0.154532,0.728644,428.234
1,ZWheAuNyDa,0.158878,0.123488,0.0258328,0.162367,0.109297,0.0704179,0.207721,0.216502,0.247605,0.0447549,0.0746162,0.160475,0.176441,0.172508,0.0609273,0.183122,0.12544,0.0265128,0.0991853,0.183211,0.00883252,0.214817,0.114382,0.0266606,0.160002,0.083752,0.0253302,0.170232,0.0815642,0.137946,0.0642387,0.10906,0.0174657,0.225135,0.14244,0.168931,0.0671361,0.0177614,0.0602473,0.0839885,1.73408,918.831
1,ZWheAuNyDa,0.100693,0.116097,0.210589,0.0853781,0.159115,0.0494854,0.09206,0.0631743,0.0942478,0.216384,0.0139178,0.0268972,0.17372,0.0895173,0.231965,0.0807955,0.138596,0.119911,0.0998358,0.0202744,0.164496,0.151251,0.0760945,0.156425,0.204528,0.2139,0.0921487,0.0984757,0.0783711,0.205651,0.121744,0.20101,0.115328,0.0959035,0.233857,0.2037,0.0460853,0.103029,0.206568,0.111485,1.17186,660.38
1,ZWheAuNyDa,0.175672,0.185961,0.207307,0.0641204,0.0304746,0.048421,0.184157,0.00871425,0.131885,0.201512,0.208638,0.0430105,0.178185,0.139897,0.103916,0.222297,0.175997,0.0117595,0.0135926,0.0543046,0.199354,0.182531,0.0415618,0.187498,0.211417,0.136763,0.222563,0.0996584,0.0581481,0.0794059,0.229629,0.236134,0.0363286,0.104211,0.16766,0.167246,0.206272,0.15539,0.187232,0.160416,0.527726,388.37
1,ZWheAuNyDa,0.100693,0.116097,0.210589,0.0853781,0.159115,0.0494854,0.09206,0.0631743,0.0942478,0.216384,0.0139178,0.0268972,0.17372,0.0895173,0.231965,0.0807955,0.138596,0.119911,0.0998358,0.0202744,0.164496,0.151251,0.0760945,0.156425,0.204528,0.2139,0.0921487,0.0984757,0.0783711,0.205651,0.121744,0.20101,0.115328,0.0959035,0.233857,0.2037,0.0460853,0.103029,0.206568,0.111485,1.48534,757.822
