Población,150,Elementos,60,P.Mutación,0.0213,P.Cruzamiento,0.59,Iteraciones,5,Semilla,1
Generación,Tubo,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37,e38,e39,e40,e41,e42,e43,e44,e45,e46,e47,e48,e49,e50,e51,e52,e53,e54,e55,e56,e57,e58,e59,e60,large,fit
0,DlfRyNaNaB,0.154384,0.0992445,0.131235,0.0859399,0.239741,0.242076,0.14927,0.218483,0.0239406,0.108942,0.200389,0.0738475,0.165206,0.19486,0.131648,0.0798789,0.135078,0.137473,0.139188,0.179515,0.0907591,0.0948096,0.21118,0.0888965,0.11864,0.24932,0.0833677,0.151517,0.0519985,0.11725,0.167305,0.0355008,0.12612,0.0990079,0.207721,0.0766858,0.198408,0.239682,0.151398,0.0518211,0.205799,0.169256,0.244471,0.1935,0.237139,0.244708,0.12612,0.225224,0.0638247,0.050461,0.162072,0.0753258,0.0813276,0.109652,0.181733,0.0464105,0.118019,0.0389304,0.191844,0.119586,1.83903,789.923
0,DlfRyNaNaB,0.157193,0.0749119,0.248936,0.229807,0.170025,0.0172292,0.107434,0.22821,0.12136,0.11796,0.159499,0.218838,0.229866,0.153911,0.164762,0.109888,0.135817,0.120029,0.0250345,0.189509,0.196279,0.0893695,0.0291146,0.110716,0.219577,0.24592,0.0843433,0.105128,0.0959627,0.155567,0.087359,0.206006,0.225372,0.184808,0.182649,0.224071,0.153764,0.103945,0.150837,0.193027,0.187705,0.177948,0.148856,0.181644,0.0234084,0.210707,0.217507,0.0830424,0.193559,0.194062,0.216561,0.133836,0.127864,0.196811,0.0290259,0.204173,0.0275476,0.0988305,0.201276,0.200803,1.03203,702.56
0,DlfRyNaNaB,0.0933017,0.105926,0.0839885,0.0496332,0.0809433,0.121123,0.0145978,0.0812981,0.120502,0.114766,0.0165787,0.126563,0.233561,0.241396,0.193056,0.185015,0.237287,0.195037,0.130939,0.0807363,0.0687031,0.116422,0.0934496,0.137296,0.0419757,0.020304,0.0867973,0.225815,0.201098,0.229274,0.186049,0.235099,0.0916165,0.240362,0.158524,0.20577,0.196575,0.183152,0.0683187,0.0130013,0.243052,0.113081,0.134812,0.117841,0.1404,0.228447,0.216118,0.0181162,0.0867086,0.224514,0.131116,0.0695013,0.141583,0.0791693,0.0409704,0.18667,0.0577046,0.198792,0.173129,0.213693,0.821548,581.118
0,DlfRyNaNaB,0.136349,0.195776,0.227441,0.0454644,0.146106,0.107819,0.082599,0.0199197,0.060129,0.0497515,0.184364,0.139336,0.165738,0.227944,0.0502836,0.209643,0.181319,0.137384,0.118226,0.0740545,0.215172,0.183034,0.0467358,0.17242,0.119556,0.0305337,0.0631743,0.171207,0.0903747,0.077898,0.116452,0.125794,0.0364173,0.0574681,0.0596264,0.0662787,0.0879503,0.117161,0.0208362,0.139424,0.225579,0.184068,0.0574385,0.160682,0.0821259,0.0143909,0.135965,0.238854,0.217271,0.103679,0.151724,0.167453,0.146372,0.123074,0.24793,0.137828,0.156454,0.195067,0.207958,0.044134,1.75874,802.615
0,DlfRyNaNaB,0.124701,0.0427148,0.112904,0.245713,0.224426,0.0671065,0.0250641,0.207248,0.124641,0.101284,0.158435,0.203582,0.129993,0.196427,0.134132,0.143386,0.22546,0.229008,0.199236,0.22889,0.242195,0.109829,0.18055,0.229866,0.0147752,0.1935,0.163786,0.0491306,0.027725,0.115446,0.0221075,0.0614299,0.13833,0.192081,0.0377182,0.108085,0.13632,0.23028,0.151487,0.0564333,0.122424,0.158287,0.105217,0.0983279,0.0555168,0.0374226,0.115772,0.116481,0.205474,0.0601586,0.0886895,0.110657,0.0472679,0.102585,0.177121,0.170734,0.231935,0.200448,0.177564,0.199768,1.65681,799.968
0,DlfRyNaNaB,0.22889,0.187853,0.21934,0.073404,0.124937,0.205208,0.166891,0.216739,0.235424,0.156957,0.125262,0.0444592,0.122454,0.212067,0.0604838,0.216857,0.183862,0.0661604,0.0303268,0.0359147,0.177564,0.233414,0.0162831,0.0963174,0.113791,0.242816,0.147525,0.0941,0.0977957,0.0349686,0.016017,0.0738771,0.0775728,0.0480366,0.242845,0.223154,0.098121,0.129313,0.0739658,0.145308,0.201483,0.137236,0.0291737,0.0678457,0.125203,0.246334,0.112401,0.223361,0.167689,0.225608,0.024798,0.0813572,0.225135,0.108824,0.0884825,0.105956,0.151517,0.206213,0.150718,0.236282,1.4566,867.549
0,DlfRyNaNaB,0.121744,0.0937452,0.17242,0.112401,0.10569,0.110864,0.115683,0.13768,0.124464,0.121833,0.0340521,0.0709205,0.195658,0.0645639,0.0465879,0.139276,0.0556055,0.0883938,0.056315,0.243141,0.0519098,0.11113,0.17582,0.00951253,0.170675,0.217685,0.209998,0.0998358,0.0845503,0.203523,0.209288,0.126297,0.056315,0.2466,0.102526,0.218779,0.113584,0.0928583,0.0104882,0.218719,0.176204,0.214048,0.15811,0.237878,0.235158,0.189834,0.0198605,0.183122,0.144362,0.145367,0.0932426,0.135315,0.18466,0.144598,0.0310659,0.218187,0.144717,0.0454349,0.209998,0.0907295,1.02928,699.511
0,DlfRyNaNaB,0.0478297,0.20095,0.0883643,0.234301,0.177357,0.156336,0.0558716,0.246186,0.11728,0.0636178,0.130436,0.00992645,0.139188,0.239475,0.220493,0.165472,0.0545411,0.0362104,0.0451688,0.120029,0.0846094,0.159026,0.165353,0.00889165,0.106725,0.0412661,0.205385,0.224337,0.0430696,0.207662,0.219222,0.24867,0.198733,0.116747,0.0574385,0.0212205,0.183743,0.0574385,0.153143,0.230043,0.0529741,0.110686,0.144391,0.242254,0.191282,0.0676683,0.0712753,0.063943,0.198497,0.249083,0.171651,0.00906904,0.111958,0.0820668,0.11861,0.0584733,0.0890739,0.140282,0.0888965,0.161214,1.16116,800.91
0,DlfRyNaNaB,0.0608977,0.10433,0.0750893,0.0933904,0.133393,0.149388,0.178894,0.20985,0.21325,0.0589464,0.213161,0.220907,0.119113,0.113613,0.116274,0.0716892,0.164703,0.0184414,0.0331947,0.0310068,0.0128239,0.11314,0.197669,0.17375,0.0314503,0.0915869,0.0952235,0.203404,0.167955,0.224012,0.0147161,0.142588,0.213989,0.180521,0.0235562,0.189952,0.0305337,0.198763,0.124523,0.0598629,0.119527,0.231137,0.135522,0.204528,0.111396,0.227855,0.161953,0.0505793,0.183714,0.238706,0.0874182,0.0495445,0.201749,0.13496,0.0713049,0.127125,0.0230536,0.181289,0.0492488,0.153498,0.689312,407.099
0,DlfRyNaNaB,0.231167,0.124641,0.0653621,0.185724,0.0888669,0.213545,0.24932,0.233828,0.116747,0.235631,0.0737884,0.144717,0.011316,0.148146,0.0522941,0.183743,0.105217,0.22345,0.158583,0.233798,0.246955,0.089813,0.123045,0.137296,0.125292,0.0479775,0.119172,0.101018,0.177446,0.133866,0.202222,0.0410887,0.0875069,0.0106656,0.163225,0.20982,0.0755623,0.218394,0.154384,0.245654,0.116245,0.0791693,0.0450209,0.00948296,0.036506,0.135669,0.206154,0.0205701,0.0983575,0.235454,0.24252,0.0642091,0.043927,0.123607,0.199295,0.173987,0.0384278,0.203818,0.118344,0.0630265,0.763589,533.249
